sample_id,score,Jitter,Shimmer,H1H2,HNR,Q1,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
c5-1,1.0,0.001664999988861382,0.03660000115633011,9.13708209991455,26.72663116455078,3.761204957962036,-0.00010699999984353781,0.006515500135719776,0.0680684968829155,0.20433500409126282
c5-3-a,3.0,0.0014860000228509307,0.023852000012993813,0.53729248046875,30.54939842224121,5.421504020690918,-0.00010699999984353781,0.02479100041091442,0.21111099421977997,0.2643750011920929
c5-3-b,3.0,0.0017130000051110983,0.017426999285817146,0.7573984861373901,30.53386688232422,3.484886646270752,-0.00010099999781232327,0.042451001703739166,0.28491801023483276,0.21636000275611877
c5-5-a,5.0,0.0036319999489933252,0.017583999782800674,1.340595006942749,25.786745071411133,6.105079650878906,-0.00011800000356743112,0.01723800040781498,0.08310049772262573,0.2724825143814087
c5-5-b,5.0,0.006266999989748001,0.025279000401496887,9.858928680419922,23.293176651000977,10.943242073059082,-9.699999645818025e-05,0.0009244999964721501,0.31539249420166016,0.08564750105142593
d4-1,1.0,0.003594999900087714,0.026481499895453453,3.1389269828796387,21.287338256835938,3.1768429279327393,-0.00012700000661425292,0.6758835315704346,0.002324500121176243,0.2856454849243164
d4-3-a,3.0,0.002572000026702881,0.014608500525355339,-0.685634970664978,24.03805160522461,3.7048425674438477,-0.00012599999899975955,0.1625095009803772,0.04619000107049942,0.40505450963974
d4-3-b,3.0,0.0026000000070780516,0.01568399928510189,5.449577331542969,26.959564208984375,2.9049429893493652,-0.00011600000289035961,0.6546480059623718,0.19427700340747833,0.24001100659370422
d4-5-a,3.0,0.003046999918296933,0.013651499524712563,-4.277484893798828,23.172588348388672,6.474423885345459,-0.00013000000035390258,0.1101514995098114,0.1717270016670227,0.35709699988365173
d4-5-b,5.0,0.004991999827325344,0.02019299939274788,20.422760009765625,24.837020874023438,4.075741767883301,-0.00012099999730708078,0.9877259731292725,0.1235634982585907,0.10572499781847
e4-1,1.0,0.0035830000415444374,0.028727000579237938,7.411160945892334,22.764835357666016,3.9579925537109375,-0.00013099999341648072,0.8215889930725098,0.006833000108599663,0.3012079894542694
e4-3-a,3.0,0.0027409999165683985,0.021740999072790146,-4.9970855712890625,25.566940307617188,3.5951180458068848,-0.00011600000289035961,0.41769349575042725,0.028931500390172005,0.34057849645614624
e4-3-b,3.0,0.004368999972939491,0.019348999485373497,0.2883639931678772,25.866653442382812,3.613039016723633,-0.00011300000187475234,0.4426639974117279,0.056040000170469284,0.3019860088825226
